абонировать  заабонировать
обстирываться  обстираться
обстреливать  обстрелять
обстригать  обстричь
обстригаться  обстричься
обсуждать  обсудить
обсушивать  обсушить
обсушиваться  обсушиться
обсчитывать  обсчитать
обсчитываться  обсчитаться
обсыхать  обсохнуть
обтачивать  обточить
обтачиваться  обточиться
обтекать  обтечь
обтесывать  обтесать
обтесываться  обтесаться
обтирать  обтереть
обтираться  обтереться
обтрепывать  обтрепать
обтрепываться  обтрепаться
обтягивать  обтянуть
обтягиваться  обтянуться
обтяпывать  обтяпать
обувать  обуть
обуваться  обуться
обужать  обузить
обуздывать  обуздать
обуздываться  обуздаться
обуславливать  обусловить
обуславливаться  обусловиться
обусловливать  обусловить
обусловливаться  обусловиться
обустраивать  обустроить
обустраиваться  обустроиться
обучать  обучить
обучаться  обучиться
обхватывать  обхватить
обхватываться  обхватиться
обходить1  обойти1
обходить2  обойти2
обходиться3  обойтись3
обшивать  обшить
обшиваться  обшиться
общаться  пообщаться
общипывать  общипать
объедать  объесть
объедаться  объесться
объединять  объединить
объединяться  объединиться
объезжать  объездить
объезжать  объехать
объявлять  объявить
объявляться  объявиться
объяснять  объяснить
объясняться  объясниться
обыгрывать  обыграть
обыскивать  обыскать
обюрокрачивать  обюрократить
обюрокрачиваться  обюрократиться
обязывать  обязать
обязываться  обязаться
овеществлять  овеществить
овеществляться  овеществиться
овладевать  овладеть
огибать  обогнуть
оглаживать  огладить
оглаживаться  огладиться
оглашать  огласить
оглоушивать  оглоушить
оглуплять  оглупить
оглупляться  оглупиться
оглушать  оглушить
оглядывать  оглядеть
оглядывать  оглянуть
оглядываться  оглянуться
оговариваться  оговориться
оголять  оголить
оголяться  оголиться
огораживать  огородить
огораживаться  огородиться
огорошивать  огорошить
огорошиваться  огорошиться
огорчать  огорчить
огорчаться  огорчиться
ограждать  оградить
ограждаться  оградиться
огранивать  огранить
ограничивать  ограничить
ограничиваться  ограничиться
огребать  огрести
огревать  огреть
огрублять  огрубить
огрубляться  огрубиться
огрызаться  огрызнуться
одалживать  одолжить
одалживаться  одолжиться
одаривать  одарить
одарять  одарить
одевать  одеть
одеваться  одеться
оделять  оделить
одергивать  одернуть
одергиваться  одернуться
одерживать  одержать
одерживать победу  одержать победу
одобрять  одобрить
одобряться  одобриться
одолевать  одолеть
одомашнивать  одомашнить
одомашниваться  одомашниться
одумываться  одуматься
одурачивать  одурачить
одурачиваться  одурачиться
одуревать  одуреть
одурманивать  одурманить
одурманиваться  одурманиться
одурять  одурить
одухотворять  одухотворить
одухотворяться  одухотвориться
одушевлять  одушевить
одушевляться  одушевиться
ожесточать  ожесточить
ожесточаться  ожесточиться
оживать  оживить
оживать  ожить
оживлять  оживить
оживляться  оживиться
оживотворять  оживотворить
ожижать  ожидить
ожижаться  ожидиться
озабочивать  озаботить
озабочиваться  озаботиться
озаглавливать  озаглавить
озадачивать  озадачить
озадачиваться  озадачиться
озарять  озарить
озаряться  озариться
озверевать  озвереть
оздоравливать  оздоровить
оздоровлять  оздоровить
оздоровляться  оздоровиться
озеленять  озеленить
озеленяться  озелениться
озлоблять  озлобить
озлобляться  озлобиться
ознакамливать  ознакомить
ознакамливаться  ознакомиться
ознакомлять  ознакомить
ознакомляться  ознакомиться
означать  обозначать
означать  означить
озорничать  поозорничать
озорничать  созорничать
озоровать  созоровать
оказывать  оказать
оказывать внимание  оказать внимание
оказывать давление  оказать давление
оказывать услугу  оказать услугу
оказываться  оказаться
окаймлять  окаймить
окаменевать  окаменеть
оканчивать  окончить
оканчиваться  окончиться
окапывать  окопать
окапываться  окопаться
окатывать  окатить
окатываться  окатиться
окидывать  окинуть
окислять  окислить
окисляться  окислиться
оклеивать  оклеить
оклеиваться  оклеиться
окликать  окликнуть
околачивать  околотить
околдовывать  околдовать
околевать  околеть
окоченевать  окоченеть
окрашивать  окрасить
окрашиваться  окраситься
окрикивать  окрикнуть
окровавливать  окровавить
окровавливаться  окровавиться
окроплять  окропить
окропляться  окропиться
округлять  округлить
округляться  округлиться
окружать  окружить
окружаться  окружиться
окрылять  окрылить
окрыляться  окрылиться
окукливаться  окуклиться
окультуривать  окультурить
окультуриваться  окультуриться
окунать  окунуть
окунаться  окунуться
окупать  окупить
окупаться  окупиться
окуривать  окурить
окутывать  окутать
окутываться  окутаться
окучивать  окучить
олифить  проолифить
олицетворять  олицетворить
омолаживать  омолодить
омолаживаться  омолодиться
омрачать  омрачить
омрачаться  омрачиться
омывать  омыть
омываться  омыться
омылять  омылить
омыляться  омылиться
опадать  опасть
опаздывать  опоздать
опаивать  опоить
опалять  опалить
опаляться  опалиться
опаршивливать  опаршивить
опаршивливаться  опаршивиться
опережать  опередить
оперировать  прооперировать
оперироваться  прооперироваться
опечатывать  опечатать
опечываться  опечаться
опирать  опереть
опираться  опереться
описывать  описать
оплавлять  оплавить
оплавляться  оплавиться
оплакивать  оплакать
оплачивать  оплатить
оплачиваться  оплатиться
оплевывать  оплевать
оплетать  оплести
оплывать  оплыть
оповещать  оповестить
опоганивать  опоганить
опоганиваться  опоганиться
опознавать  опознать
опозоривать  опозорить
опозориваться  опозориться
ополаскивать  ополоснуть
ополаскиваться  ополоснуться
ополчаться  ополчиться
опорожнять  опорожнить
опорожняться  опорожниться
опорочивать  опорочить
опохмеляться  опохмелиться
опошлять  опошлить
опошляться  опошлиться
опоясывать  опоясать
опоясываться  опоясаться
оппонировать  прооппонировать
оправдывать  оправдать
оправдываться  оправдаться
оправлять  оправить
оправляться  оправиться
опрашивать  опросить
опревать  опреть
определять  определить
определять  переопределять
определяться  определиться
опреснять  опреснить
опресняться  опресниться
опровергать  опровергнуть
опровергаться  опровергнуться
опрокидывать  опрокинуть
опрокидываться  опрокинуться
опротестовывать  опротестовать
опротестовываться  опротестоваться
опрощать  опростить
опрощаться  опроститься
опрыскать  опрыснуть
опрыскаться  опрыснуться
опрыскивать  опрыскать
опрыскивать  опрыснуть
опрыскиваться  опрыскаться
опрыскиваться  опрыснуться
оптимизировать  соптимизировать
опубликовывать  опубликовать
опубликовываться  опубликоваться
опускать1  опустить1
опускать2  опустить2
опускаться  опуститься
опустошать  опустошить
опустошаться  опустошиться
опутывать  опутать
опутываться  опутаться
опухать  опухнуть
опылять  опылить
опыляться  опылиться
организовать  сорганизовать
организоваться  сорганизоваться
организовывать  организовать
организовываться  организоваться
ориентировать  сориентировать
ориентироваться  сориентироваться
орошать  оросить
орошаться  ороситься
осаждать  осадить2
осваивать  освоить
осваиваться  освоиться
осведомлять  осведомить
осведомляться  осведомиться
освежать  освежить
освежаться  освежиться
осветлять  осветлить
осветляться  осветлиться
освещать1  осветить1
освещать2  осветить2
освещаться  осветиться
освистывать  освистать
освобождать  освободить
освобождаться  освободиться
освящать  освятить
освящаться  освятиться
оседлывать  оседлать
осекать  осечь
осекаться  осечься
осенять  осенить
осеняться  осениться
осиливать  осилить
осиливаться  осилиться
оскаливать  оскалить
оскаливаться  оскалиться
осквернять  осквернить
оскверняться  оскверниться
оскорблять  оскорбить
оскорбляться  оскорбиться
оскудевать  оскудеть
ослабевать  ослабеть
ослабеть  ослабнуть
ослаблять  ослабить
ослабляться  ослабиться
ослеплять  ослепить
ослепляться  ослепиться
осложнять  осложнить
осложняться  осложниться
ослушиваться  ослушаться
осматривать  осмотреть
осматриваться  осмотреться
осмеивать  осмеять
осмеливаться  осмелиться
осмысливать  осмыслить
осмыслять  осмыслить
оснащать  оснастить
оснащаться  оснаститься
основывать  основать
основываться  основаться
осознавать  осознать
оспаривать  оспорить
оспариваться  оспориться
осреднять  осреднить
осредняться  осредниться
оставаться  остаться
оставаться замужем  остаться замужем
оставлять  оставить
останавливать  остановить
останавливаться  остановиться
останавливаться  приостанавливаться
остеклять  остеклить
остекляться  остеклиться
остерегать  остеречь
остерегаться  остеречься
остригать  остричь
остригаться  остричься
острить  заострить
острить  сострить
остужать  остудить
остужаться  остудиться
оступаться  оступиться
остывать  остынуть
остывать  остыть
осуждать  осудить
осушать  осушить
осушаться  осушиться
осуществлять  осуществить
осуществляться  осуществиться
осчастливливать  осчастливить
осчастливливаться  осчастливиться
осыпать2  осыпать1
отапливать  отопить
отбавлять  отбавить
отбеливать  отбелить
отбеливаться  отбелиться
отбивать  отбить
отбирать  отобрать1
отбирать  отобрать2
отбрасывать  отбросить1
отбривать  отбрить
отбрыкиваться  отбрыкаться
отваживать  отвадить
отваживаться  отважиться
отваливать  отвалить
отваливаться  отвалиться
отваривать  отварить
отвариваться  отвариться
отведывать  отведать
отвергать  отвергнуть
отвердевать  отвердеть
отверждать  отвердить
отверждаться  отвердиться
отвертывать  отвернуть
отвертываться  отвернуться
ответвлять  ответвить
ответвляться  ответвиться
отвечать1  ответить1
отвечать2  ответить2
отвешивать  отвесить
отвинчивать  отвинтить
отвинчиваться  отвинтиться
отвлекать  отвлечь
отвлекаться  отвлечься
отводить1  отвести1
отводить2  отвести2
отвоевывать  отвоевать
отвозить  отвезти
отволакивать  отволочь
отворачивать  отвернуть
отворачивать  отворотить
отворачиваться  отвернуться
отворять  отворить
отвращать  отвратить
отвращаться  отвратиться
отвыкать  отвыкнуть
отвязывать  отвязать
отвязываться  отвязаться
отгадывать  отгадать
отгибать  отогнуть
отгибаться  отогнуться
отглаживать  отгладить
отглаживаться  отгладиться
отговаривать  отговорить
отговариваться  отговориться
отгонять  отогнать
отгораживать  отгородить
отгораживаться  отгородиться
отграничивать  отграничить
отграничиваться  отграничиться
отгребать  отгрести
отгружать  отгрузить
отгружаться  отгрузиться
отгуливать  отгулять
отдавать1  отдать
отдаваться  отдаться
отдалять  отдалить
отдаляться  отдалиться
отделывать  отделать
отделываться  отделаться
отделять  отделить
отделяться  отделиться
отдергивать  отдернуть
отдергиваться  отдергнуться
отдирать  отодрать
отдираться  отодраться
отдыхать  отдохнуть
отекать  отечь
отеплять  отеплить
отепляться  отеплиться
отжигать  отжечь
отжимать  отжать
отжиматься  отжаться
отказывать1  отказать1
отказываться  отказаться
откалывать  отколоть
откалываться  отколоться
откапывать  откопать
откапываться  откопаться
откармливать  откормить
откармливаться  откормиться
откатывать  откатить
откатываться  откатиться
откачивать  откачать
откачиваться  откачаться
откидывать  откидать
откидывать  откинуть
откидываться  откинуться
откладывать  отложить1
откладываться  отложиться
отклеивать  отклеить
отклеиваться  отклеиться
откликаться  откликнуться
отклонять  отклонить
отклоняться  отклониться
отключать  отключить
отключаться  отключиться1
отклячивать  отклячить
открещиваться  откреститься
откровенничать  разоткровенничаться
откручивать  открутить
откручиваться  открутиться
открывать1  открыть1
открывать1  открыть3
открывать2  открыть2
открываться  открыться1
открываться  открыться2
откупать  откупить
откупаться  откупиться
откупоривать  откупорить
откупориваться  откупориться
откусывать  откусить
откусываться  откуситься
отлавливать  отловить
отлаживать  отладить
отлаживаться  отладиться
отламывать  отломить
отламываться  отломиться
отлеживаться  отлежаться
отлеплять  отлепить
отлепляться  отлепиться
отлетать  отлететь
отливать1  отлить
отливаться  отлиться
отличать  отличить
отличаться  отличиться
отлучать  отлучить
отлучаться  отлучиться
отлынивать  отлынить
отлячивать  отлячить
отмазывать  отмазать
отмазываться  отмазаться
отмаливать  отмолить
отмаливаться  отмолиться
отмахивать  отмахнуть
отмахиваться  отмахнуться
отмачивать  отмочить
отмачиваться  отмочиться
отмежевывать  отмежевать
отмежевываться  отмежеваться
отменять  отменить
отменяться  отмениться
отмеривать  отмерить
отмерять  отмерить
отметать  отмести
отметаться  отместись
отмечать1  отметить1
отмечать2  отметить2
отмечаться2  отметиться
отмирать  отмереть
отмораживать  отморозить
отмораживаться  отморозиться
отмывать1  отмыть
отмываться  отмыться
отнимать  отнять
отниматься  отняться
относить2  отнести2
относить3  отнести3
относиться1  отнестись
отображать  отобразить
отображаться  отобразиться
отоваривать  отоварить
отовариваться  отовариться
отогревать  отогреть
отогреваться  отогреться
отодвигать  отодвинуть
отодвигаться  отодвинуться
отождествлять  отождествить
отождествляться  отождествиться
отпадать  отпасть
отпаивать  отпоить
отпаиваться  отпоиться
отпарывать  отпороть
отпарываться  отпороться
отпевать  отпеть
отпечатывать  отпечатать
отпивать  отпить
отпиливать  отпилить
отпиливаться  отпилиться
отпирать  отпереть
отпираться  отпереться
отписывать  отписать
отписываться  отписаться
отплачивать  отплатить
отплывать  отплыть
отплясывать  отплясать
отполаскивать  отполоскать
отполаскиваться  отполаскаться
отправлять1  отправить
отправляться  отправиться
отпрашиваться  отпроситься
отпрягать  отпрячь
отпрягаться  отпрячься
отпугивать  отпугнуть
отпугиваться  отпугнуться
отпускать1  отпустить1
отпускать1  отпустить2
отпускать2  отпустить2
отпутывать  отпутать
отпутываться  отпутаться
отрабатывать1  отработать1
отрабатывать2  отработать2
отравлять  отравить
отравляться  отравиться
отражать1  отразить1
отражать2  отразить2
отражаться  отразиться
отрастать  отрасти
отращивать  отрастить
отращиваться  отраститься
отрезвлять  отрезвить
отрезвляться  отрезвиться
отрекаться  отречься
отрешать  отрешить
отрешаться  отрешиться
отругивать  отругать
отрывать2  оторвать
отрываться  оторваться1
отсаживать  отсадить
отсаживаться  отсесть
отсасывать  отсосать
отсасываться  отсосаться
отсеивать  отсеять
отсеиваться  отсеяться
отсекать  отсечь
отсекаться  отсечься
отселять  отселить
отселяться  отселиться
отсиживать  отсидеть
отсиживаться  отсидеться
отскабливать  отскоблить
отскабливаться  отскоблиться
отскакивать  отскочить
отслаивать  отслоить
отслаиваться  отслоиться
отслеживать  отследить
отслеживаться  отследиться
отслуживать  отслужить
отсоединять  отсоединить
отсоединяться  отсоединиться
отсрочивать  отсрочить
отсрочиваться  отсрочиться
отставать  отстать
отставлять  отставить
отстаивать  отстоять
отстегивать  отстегнуть
отстегиваться  отстегнуться
отстирывать  отстирать
отстирываться  отстираться
отстраивать  отстроить
отстраиваться  отстроиться
отстранять  отстранить
отстраняться  отстраниться
отстрачивать  отстрочить
отстрачиваться  отстрочиться
отстругивать  отстругать
отстукивать  отстукать
отступать  отступить
отступаться  отступиться
отсуживать  отсудить
отсуживаться  отсудиться
отсучивать  отсучить
отсчитывать  отсчитать
отсылать  отослать
отсылаться  отослаться
отсыпать2  отсыпать1
отсыревать  отсыреть
отсыхать  отсохнуть
оттаивать  оттаять
отталкивать  оттолкнуть
отталкиваться  оттолкнуться
оттаскивать  оттащить
оттаскиваться  оттащиться
оттачивать  отточить
оттачиваться  отточиться
оттенять  оттенить
оттеснять  оттеснить
оттесняться  оттесниться
оттирать  оттереть
оттираться  оттереться
оттопыривать  оттопырить
оттопыриваться  оттопыриться
отторгать  отторгнуть
отторгаться  отторгнуться
оттормаживаться  оттормозиться
оттягивать  оттянуть
отуманивать  отуманить
отуманиваться  отуманиться
отуплять  отупить
отупляться  отупиться
отутюживаться  отутюжиться
отучать  отучить
отучаться  отучиться
отучивать  отучить
отучиваться  отучиться
отфильтровывать  отфильтровать
отфильтровываться  отфильтроваться
отфутболивать  отфутболить
отхаживать  отходить
отхаркивать  отхаркнуть
отхаркиваться  отхаркнуться
отхлебывать  отхлебнуть
отходить  отойти
отцветать  отцвести
отцеживать  отцедить
отцеживаться  отцедиться
отцеплять  отцепить
отцепляться  отцепиться
отчаиваться  отчаяться
отчаливать  отчалить
отчеканивать  отчеканить
отчеканиваться  отчеканиться
отчеркивать  отчеркнуть
отчерпать  отчерпнуть
отчислять1  отчислить1
отчислять2  отчислить2
отчитывать  отчитать
отчитываться  отчитаться
отчищать  отчистить
отчищаться  отчиститься
отшелушивать  отшелушить
отшибать  отшибить
отшивать  отшить
отшиваться  отшиться
отшкуривать  отшкурить
отшкуриваться  отшкуриться
отшлепывать  отшлепать
отшпиливать  отшпилить
отштукатуривать  отштукатурить
отшучиваться  отшутиться
отъедаться  отъесться
отъединять  отъединить
отъединяться  отъединиться
отъезжать  отъехать
отыгрывать  отыграть
отыгрываться  отыграться
отыскивать  отыскать
отыскиваться  отыскаться
отягощать  отяготить
отягощаться  отяготиться
отягчать  отягчить
отягчаться  отягчиться
отяжелять  отяжелить
отяжеляться  отяжелиться
оформлять  оформить
оформляться  оформиться
охаивать  охаять
охать  охнуть
охватывать  охватить
охладевать  охладеть
охлаждать  охладить
охлаждаться  охладиться
охотиться  поохотиться
оценивать1  оценить1
оценивать2  оценить2
оцеплять  оцепить
очаровывать  очаровать
очаровываться  очароваться
очернять  очернить
очинивать  очинить
очинять  очинить
очищать  очистить
очищаться  очиститься
очумевать  очуметь
очухиваться  очухаться
ошалевать  ошалеть
ошандарашивать  ошандарашить
ошарашивать  ошарашить
ошеломлять  ошеломить
ошибаться  ошибиться
ошиповывать  ошиповать
ошпаривать  ошпарить
ошпариваться  ошпариться
оштрафовывать  оштрафовать
оштукатуривать  оштукатурить
ощеривать  ощерить
ощериваться  ощериться
ощипывать  ощипать
ощупывать  ощупать
ощупываться  ощупаться
ощущать  ощутить
ощущать себя  ощутить себя
падать  пасть
падать  упасть
пакетировать  запакетировать
пакостить  напакостить
палить  опалить
палить  пальнуть
палиться  спалиться
пальпировать  пропальпировать
паниковать  запаниковать
панировать  запанировать
панироваться  запанироваться
паразитировать  пропаразитировать
парализовать  спарализовать
параллелить  распараллелить
параллелиться  распараллелиться
парафировать  пропарафировать
парировать  отпарировать
парироваться  отпарироваться
парить  пропарить
парковать  припарковать
парковаться  припарковаться
пародировать  спародировать
паршиветь  запаршиветь
пасовать  спасовать
пассеровать  пропассеровать
пастеризовать  пропастеризовать
пастеризоваться  пропастеризоваться
патентовать  запатентовать
патентоваться  запатентоваться
патронировать  пропатронировать
патрулировать  пропатрулировать
пахать  вспахать
пахнуть1  запахнуть2
пахтать  напахтать
пачкать  испачкать
пачкаться  испачкаться
паять  спаять
паяться  спаяться
педалировать  пропедалировать
пеленать  запеленать
пеленать  спеленать
пеленаться  запеленаться
пеленговать  запеленговать
пеленговаться  запеленговаться
пениться  вспениться
переадресовывать  переадресовать
переадресовываться  переадресоваться
перебарывать  перебороть
перебегать  перебежать
перебелять  перебелить
перебивать  перебить2
перебиваться  перебиться
перебинтовывать  перебинтовать
перебинтовываться  перебинтоваться
перебирать  перебрать1
перебираться  перебраться
перебрасывать  перебросить
перебрасываться  переброситься
перебривать  перебрить
перебриваться  перебриться
переваливать  перевалить
переваривать  переварить
перевариваться  перевариться
перевертывать  перевернуть
перевертываться  перевернуться
перевешивать  перевесить
перевешивать  перевешать
перевешиваться  перевеситься
перевирать  переврать
переводить1  перевести1
переводить2  перевести2
переводить3  перевести3
переводить4  перевести4
переводиться  перевестись
перевозбуждать  перевозбудить
перевозбуждаться  перевозбудиться
перевозить  перевезти
перевооружать  перевооружить
перевооружаться  перевооружиться
перевоплощать  перевоплотить
перевоплощаться  перевоплотиться
переворачивать  перевернуть
переворачиваться  перевернуться
перевоспитывать  перевоспитать
перевоспитываться  перевоспитаться
перевыбирать  перевыбрать
перевыбираться  перевыбраться
перевыполнять  перевыполнить
перевязывать  перевязать
перевязываться  перевязаться
перегибать  перегнуть
перегибаться  перегнуться
переглядываться  переглянуться
переголосовывать  переголосовать
перегонять  перегнать1
перегораживать  перегородить
перегораживаться  перегородиться
перегорать  перегореть
перегревать  перегреть
перегреваться  перегреться
перегружать1  перегрузить1
перегружать2  перегрузить2
перегружаться  перегрузиться
перегруппировывать  перегруппировать
перегруппировываться  перегруппироваться
перегрызать  перегрызть
передавать1  передать1
передавать2  передать2
передаваться  передаться
передвигать  передвинуть
передвигаться  передвинуться
переделывать  переделать
переделываться  переделаться
передергивать  передернуть
передергиваться  передернуться
передирать  передрать
передоверять  передоверить
передоверяться  передовериться
передразнивать  передразнить
переезжать  переехать
пережаривать  пережарить
пережариваться  пережариться
пережевывать  пережевать
пережевываться  пережеваться
переживать  пережить
пережигать  пережечь
пережидать  переждать
пережимать  пережать
пережиматься  пережаться
перезагружать  перезагрузить
перезагружаться  перезагрузиться
перезаключать  перезаключить
перезаписывать  перезаписать
перезаправлять  перезаправить
перезаправляться  перезаправиться
перезапускать  перезапустить
перезапускаться  перезапуститься
перезаряжать  перезарядить
перезаряжаться  перезарядиться
перезахоранивать  перезахоронить
перезванивать  перезвонить
перезваниваться  перезвониться
перезнакамливать  перезнакомить
перезнакамливаться  перезнакомиться
перезревать  перезреть
переизбирать  переизбрать
переизбираться  переизбраться
переиздавать  переиздать
переиздаваться  переиздаться
переименовывать  переименовать
переименовываться  переименоваться
переиначивать  переиначить
переиначиваться  переиначиться
перекаливать  перекалить
перекаливаться  перекалиться
перекалывать  переколоть
перекантовывать  перекантовать
перекапывать  перекопать
перекачивать  перекачать
перекачиваться  перекачаться
перекашивать  перекосить
перекашиваться  перекоситься
перекидывать  перекидать
перекидывать  перекинуть
перекидываться  перекинуться
перекипать  перекипеть
перекладывать1  переложить1
переклеивать  переклеить
переклеиваться  переклеиться
переключать  переключить
переключаться  переключиться
перековеркивать  перековеркать
перековеркиваться  перековеркаться
перекореживать  перекорежить
перекореживаться  перекорежиться
перекраивать  перекроить
перекраиваться  перекроиться
перекрашивать  перекрасить
перекрашиваться  перекраситься
перекручивать  перекрутить
перекручиваться  перекрутиться
перекрывать1  перекрыть1
перекрываться  перекрыться
перекупать  перекупить
перекупаться  перекупиться
перекусывать  перекусить
переламывать  переломить
переламываться  переломиться
перелезать  перелезть
перелетать  перелететь
переливать  перелить
переливаться  перелиться
перелистывать  перелистать
перелистываться  перелистаться
перелицовывать  перелицевать
перелицовываться  перелицеваться
перемалывать  перемолоть
перемалываться  перемолоться
переманивать  переманить
переманиваться  переманиться
перематывать  перемотать
перематываться  перемотаться
перемахивать  перемахнуть
перемерзать  перемерзнуть
перемеривать  перемерить
переметываться  переметнуться
перемешивать  перемешать
перемешиваться  перемешаться
перемещать  переместить
перемещаться  переместиться
перемигиваться  перемигнуться
перемножать  перемножить
перемножаться  перемножиться
перемораживать  переморозить
перемораживаться  переморозиться
перемывать  перемыть
перемываться  перемыться
переназначать  переназначить
перенаправлять  перенаправить
перенапрягать  перенапрячь
перенапрягаться  перенапрячься
перенаселять  перенаселить
перенасыщать  перенасытить
перенасыщаться  перенасытиться
перенацеливать  перенацелить
перенацеливаться  перенацелиться
перенимать  перенять
переносить1  перенести1
переносить2  перенести2
переноситься  перенестись
переночевывать  переночевать
перенумеровывать  перенумеровать
перенумеровываться  перенумероваться
переобувать  переобуть
переобуваться  переобуться
переодевать  переодеть
переодеваться  переодеться
переопределять  переопределить
переопределяться  переопределиться
