PerfectForm,InitialForm
отграничиться,отграничиваться
отгрести,отгребать
отгрузить,отгружать
отгрузиться,отгружаться
отгулять,отгуливать
отдать,отдавать
отдаться,отдаваться
отдалить,отдалять
отдалиться,отдаляться
отделать,отделывать
отделаться,отделываться
отделить,отделять
отделиться,отделяться
отдернуть,отдергивать
отдергнуться,отдергиваться
отодрать,отдирать
отодраться,отдираться
отдохнуть,отдыхать
отечь,отекать
отеплить,отеплять
отеплиться,отепляться
отжечь,отжигать
отжать,отжимать
отжаться,отжиматься
отказаться,отказываться
отколоть,откалывать
отколоться,откалываться
откопать,откапывать
откопаться,откапываться
откормить,откармливать
откормиться,откармливаться
откатить,откатывать
откатиться,откатываться
откачать,откачивать
откачаться,откачиваться
откидать,откидывать
откинуть,откидывать
откинуться,откидываться
отложить,откладывать
отложиться,откладываться
отклеить,отклеивать
отклеиться,отклеиваться
откликнуться,откликаться
отклонить,отклонять
отклониться,отклоняться
отключить,отключать
отключиться,отключаться
отклячить,отклячивать
откреститься,открещиваться
разоткровенничаться,откровенничать
открутить,откручивать
открутиться,откручиваться
открыть,открывать
открыться,открываться
откупить,откупать
откупиться,откупаться
откупорить,откупоривать
откупориться,откупориваться
откусить,откусывать
откуситься,откусываться
отловить,отлавливать
отладить,отлаживать
отладиться,отлаживаться
отломить,отламывать
отломиться,отламываться
отлежаться,отлеживаться
отлепить,отлеплять
отлепиться,отлепляться
отлететь,отлетать
отлить,отливать
отлиться,отливаться
отличить,отличать
отличиться,отличаться
отлучить,отлучать
отлучиться,отлучаться
отлынить,отлынивать
отлячить,отлячивать
отмазать,отмазывать
отмазаться,отмазываться
отмолить,отмаливать
отмолиться,отмаливаться
отмахнуть,отмахивать
отмахнуться,отмахиваться
отмочить,отмачивать
отмочиться,отмачиваться
отмежевать,отмежевывать
отмежеваться,отмежевываться
отменить,отменять
отмениться,отменяться
отмерить,отмеривать
отмести,отметать
отместись,отметаться
отметить,отмечать
отметиться,отмечаться
отмереть,отмирать
отморозить,отмораживать
отморозиться,отмораживаться
отмыть,отмывать
отнять,отнимать
отняться,отниматься
отнести,относить
отнестись,относиться
отобразить,отображать
отобразиться,отображаться
отоварить,отоваривать
отовариться,отовариваться
отогреть,отогревать
отогреться,отогреваться
отодвинуть,отодвигать
отодвинуться,отодвигаться
отождествить,отождествлять
отождествиться,отождествляться
отпасть,отпадать
отпоить,отпаивать
отпоиться,отпаиваться
отпороть,отпарывать
отпороться,отпарываться
отпеть,отпевать
отпечатать,отпечатывать
отпить,отпивать
отпилить,отпиливать
отпилиться,отпиливаться
отпереть,отпирать
отпереться,отпираться
отписать,отписывать
отписаться,отписываться
отплатить,отплачивать
отплыть,отплывать
отплясать,отплясывать
отполоскать,отполаскивать
отполаскаться,отполаскиваться
отправить,отправлять
отправиться,отправляться
отпроситься,отпрашиваться
отпрячь,отпрягать
отпрячься,отпрягаться
отпугнуть,отпугивать
отпугнуться,отпугиваться
отпустить,отпускать
отпутать,отпутывать
отпутаться,отпутываться
отработать,отрабатывать
отравить,отравлять
отравиться,отравляться
отразить,отражать
отрасти,отрастать
отрастить,отращивать
отраститься,отращиваться
отрезвить,отрезвлять
отрезвиться,отрезвляться
отречься,отрекаться
отрешить,отрешать
отрешиться,отрешаться
отругать,отругивать
оторвать,отрывать
оторваться,отрываться
отсадить,отсаживать
отсесть,отсаживаться
отсосать,отсасывать
отсосаться,отсасываться
отсеять,отсеивать
отсеяться,отсеиваться
отсечь,отсекать
отсечься,отсекаться
отселить,отселять
отселиться,отселяться
отсидеть,отсиживать
отсидеться,отсиживаться
отскоблить,отскабливать
отскоблиться,отскабливаться
отскочить,отскакивать
отслоить,отслаивать
отслоиться,отслаиваться
отследить,отслеживать
отследиться,отслеживаться
отслужить,отслуживать
отсоединить,отсоединять
отсоединиться,отсоединяться
отсрочить,отсрочивать
отсрочиться,отсрочиваться
отстать,отставать
отставить,отставлять
отстоять,отстаивать
отстегнуть,отстегивать
отстегнуться,отстегиваться
отстирать,отстирывать
отстираться,отстирываться
отстроить,отстраивать
отстроиться,отстраиваться
отстранить,отстранять
отстраниться,отстраняться
отстрочить,отстрачивать
отстрочиться,отстрачиваться
отстругать,отстругивать
отстукать,отстукивать
отступить,отступать
отступиться,отступаться
отсудить,отсуживать
отсудиться,отсуживаться
отсучить,отсучивать
отсчитать,отсчитывать
отослать,отсылать
отослаться,отсылаться
отсыпать,отсыпать
отсыреть,отсыревать
отсохнуть,отсыхать
оттаять,оттаивать
оттолкнуть,отталкивать
оттолкнуться,отталкиваться
оттащить,оттаскивать
оттащиться,оттаскиваться
отточить,оттачивать
отточиться,оттачиваться
оттенить,оттенять
оттеснить,оттеснять
оттесниться,оттесняться
оттереть,оттирать
оттереться,оттираться
оттопырить,оттопыривать
оттопыриться,оттопыриваться
отторгнуть,отторгать
отторгнуться,отторгаться
оттормозиться,оттормаживаться
оттянуть,оттягивать
отуманить,отуманивать
отуманиться,отуманиваться
отупить,отуплять
отупиться,отупляться
отутюжиться,отутюживаться
отучить,отучать
отучиться,отучаться
отфильтровать,отфильтровывать
отфильтроваться,отфильтровываться
отфутболить,отфутболивать
отходить,отхаживать
отхаркнуть,отхаркивать
отхаркнуться,отхаркиваться
отхлебнуть,отхлебывать
отойти,отходить
отцвести,отцветать
отцедить,отцеживать
отцедиться,отцеживаться
отцепить,отцеплять
отцепиться,отцепляться
отчаяться,отчаиваться
отчалить,отчаливать
отчеканить,отчеканивать
отчеканиться,отчеканиваться
отчеркнуть,отчеркивать
отчерпнуть,отчерпать
отчислить,отчислять
отчитать,отчитывать
отчитаться,отчитываться
отчистить,отчищать
отчиститься,отчищаться
отшелушить,отшелушивать
отшибить,отшибать
отшить,отшивать
отшиться,отшиваться
отшкурить,отшкуривать
отшкуриться,отшкуриваться
отшлепать,отшлепывать
отшпилить,отшпиливать
отштукатурить,отштукатуривать
отшутиться,отшучиваться
отъесться,отъедаться
отъединить,отъединять
отъединиться,отъединяться
отъехать,отъезжать
отыграть,отыгрывать
отыграться,отыгрываться
отыскаться,отыскиваться
отяготить,отягощать
отяготиться,отягощаться
отягчить,отягчать
отягчиться,отягчаться
отяжелить,отяжелять
отяжелиться,отяжеляться
оформить,оформлять
оформиться,оформляться
охаять,охаивать
охнуть,охать
охватить,охватывать
охладеть,охладевать
охладить,охлаждать
охладиться,охлаждаться
поохотиться,охотиться
оценить,оценивать
оцепить,оцеплять
очаровать,очаровывать
очароваться,очаровываться
очернить,очернять
очинить,очинивать
очистить,очищать
очиститься,очищаться
очуметь,очумевать
очухаться,очухиваться
ошалеть,ошалевать
ошандарашить,ошандарашивать
ошарашить,ошарашивать
ошеломить,ошеломлять
ошиповать,ошиповывать
ошпарить,ошпаривать
ошпариться,ошпариваться
оштрафовать,оштрафовывать
оштукатурить,оштукатуривать
ощерить,ощеривать
ощериться,ощериваться
ощипать,ощипывать
ощупать,ощупывать
ощупаться,ощупываться
ощутить,ощущать
пасть,падать
упасть,падать
запакетировать,пакетировать
напакостить,пакостить
пальнуть,палить
спалиться,палиться
пропальпировать,пальпировать
запаниковать,паниковать
запанировать,панировать
запанироваться,панироваться
пропаразитировать,паразитировать
спарализовать,парализовать
распараллелить,параллелить
распараллелиться,параллелиться
пропарафировать,парафировать
отпарировать,парировать
отпарироваться,парироваться
пропарить,парить
припарковать,парковать
припарковаться,парковаться
спародировать,пародировать
запаршиветь,паршиветь
спасовать,пасовать
пропассеровать,пассеровать
пропастеризовать,пастеризовать
пропастеризоваться,пастеризоваться
запатентовать,патентовать
запатентоваться,патентоваться
пропатронировать,патронировать
пропатрулировать,патрулировать
запахнуть,пахнуть
напахтать,пахтать
испачкать,пачкать
испачкаться,пачкаться
спаять,паять
спаяться,паяться
пропедалировать,педалировать
запеленать,пеленать
спеленать,пеленать
запеленаться,пеленаться
запеленговать,пеленговать
запеленговаться,пеленговаться
переадресовать,переадресовывать
переадресоваться,переадресовываться
перебороть,перебарывать
перебежать,перебегать
перебелить,перебелять
перебить,перебивать
перебиться,перебиваться
перебинтовать,перебинтовывать
перебинтоваться,перебинтовываться
перебрать,перебирать
перебраться,перебираться
перебросить,перебрасывать
переброситься,перебрасываться
перебрить,перебривать
перебриться,перебриваться
перевалить,переваливать
переварить,переваривать
перевариться,перевариваться
перевернуть,перевертывать
перевернуться,перевертываться
перевесить,перевешивать
перевешать,перевешивать
перевеситься,перевешиваться
переврать,перевирать
перевести,переводить
перевозбудить,перевозбуждать
перевозбудиться,перевозбуждаться
перевезти,перевозить
перевооружить,перевооружать
перевооружиться,перевооружаться
перевоплотить,перевоплощать
перевоплотиться,перевоплощаться
перевоспитать,перевоспитывать
перевыбрать,перевыбирать
перевыбраться,перевыбираться
перевыполнить,перевыполнять
перевязать,перевязывать
перевязаться,перевязываться
перегнуть,перегибать
перегнуться,перегибаться
переглянуться,переглядываться
переголосовать,переголосовывать
перегнать,перегонять
перегородить,перегораживать
перегородиться,перегораживаться
перегореть,перегорать
перегреть,перегревать
перегреться,перегреваться
перегрузить,перегружать
перегрузиться,перегружаться
перегруппировать,перегруппировывать
перегруппироваться,перегруппировываться
перегрызть,перегрызать
передать,передавать
передаться,передаваться
передвинуть,передвигать
передвинуться,передвигаться
переделать,переделывать
переделаться,переделываться
передернуть,передергивать
передернуться,передергиваться
передрать,передирать
передоверить,передоверять
передовериться,передоверяться
передразнить,передразнивать
переехать,переезжать
пережарить,пережаривать
пережариться,пережариваться
пережевать,пережевывать
пережеваться,пережевываться
пережить,переживать
пережечь,пережигать
переждать,пережидать
пережать,пережимать
пережаться,пережиматься
перезагрузить,перезагружать
перезагрузиться,перезагружаться
перезаключить,перезаключать
перезаписать,перезаписывать
перезаправить,перезаправлять
перезаправиться,перезаправляться
перезапустить,перезапускать
перезарядить,перезаряжать
перезарядиться,перезаряжаться
перезахоронить,перезахоранивать
перезвонить,перезванивать
перезвониться,перезваниваться
перезнакомить,перезнакамливать
перезнакомиться,перезнакамливаться
перезреть,перезревать
переизбрать,переизбирать
переизбраться,переизбираться
переиздать,переиздавать
переиздаться,переиздаваться
переименовать,переименовывать
переименоваться,переименовываться
переиначить,переиначивать
переиначиться,переиначиваться
перекалить,перекаливать
перекалиться,перекаливаться
переколоть,перекалывать
перекантовать,перекантовывать
перекопать,перекапывать
перекачаться,перекачиваться
перекоситься,перекашиваться
перекидать,перекидывать
перекинуть,перекидывать
перекинуться,перекидываться
перекипеть,перекипать
переложить,перекладывать
переклеить,переклеивать
переклеиться,переклеиваться
переключить,переключать
переключиться,переключаться
перековеркать,перековеркивать
перековеркаться,перековеркиваться
перекорежить,перекореживать
перекорежиться,перекореживаться
перекроить,перекраивать
перекроиться,перекраиваться
перекрасить,перекрашивать
перекраситься,перекрашиваться
перекрутить,перекручивать
перекрутиться,перекручиваться
перекрыть,перекрывать
перекрыться,перекрываться
перекупить,перекупать
перекупиться,перекупаться
перекусить,перекусывать
переломить,переламывать
переломиться,переламываться
перелезть,перелезать
перелететь,перелетать
перелить,переливать
перелиться,переливаться
перелистаться,перелистываться
перелицеваться,перелицовываться
перемолоть,перемалывать
перемолоться,перемалываться
переманить,переманивать
переманиться,переманиваться
перемотать,перематывать
перемотаться,перематываться
перемахнуть,перемахивать
перемерзнуть,перемерзать
перемерить,перемеривать
переметнуться,переметываться
перемешаться,перемешиваться
переместить,перемещать
переместиться,перемещаться
перемигнуться,перемигиваться
перемножить,перемножать
перемножиться,перемножаться
переморозить,перемораживать
переморозиться,перемораживаться
перемыть,перемывать
перемыться,перемываться
переназначить,переназначать
перенаправить,перенаправлять
перенапрячь,перенапрягать
перенапрячься,перенапрягаться
перенаселить,перенаселять
перенасытить,перенасыщать
перенасытиться,перенасыщаться
перенацелить,перенацеливать
перенацелиться,перенацеливаться
перенять,перенимать
перенестись,переноситься
перенумероваться,перенумеровываться
переобуть,переобувать
переобуться,переобуваться
переодеть,переодевать
переодеться,переодеваться
переопределить,переопределять
переопределиться,переопределяться
переосмыслить,переосмысливать
переосмыслиться,переосмысливаться
переоснастить,переоснащать
переоснаститься,переоснащаться
переоформить,переоформлять
переоформиться,переоформляться
переоценить,переоценивать
перепасть,перепадать
перепариться,перепариваться
перепахать,перепахивать
перепечатать,перепечатывать
перепечататься,перепечатываться
переписать,переписывать
переплатить,переплачивать
переплести,переплетать
переплестись,переплетаться
переплыть,переплывать
переподготовить,переподготавливать
переподготовиться,переподготавливаться
переползти,переползать
переполнить,переполнять
переполниться,переполняться
перепоручить,перепоручать
перепостить,перепощивать
перепоститься,перепощиваться
переправить,переправлять
переправиться,переправляться
перепривязать,перепривязывать
перепривязаться,перепривязываться
перепроверить,перепроверять
перепровериться,перепроверяться
перепродать,перепродавать
перепродаться,перепродаваться
перепрыгнуть,перепрыгивать
перепугать,перепугивать
перепугаться,перепугиваться
перепутать,перепутывать
перепутаться,перепутываться
переработать,перерабатывать
переразместить,переразмещать
переразместиться,переразмещаться
перераспределить,перераспределять
перераспределиться,перераспределяться
перерасти,перерастать
перерисовать,перерисовывать
пересадить,пересаживать
пересесть,пересаживаться
пересолить,пересаливать
пересдать,пересдавать
пересдаться,пересдаваться
пересечь,пересекать
пересечься,пересекаться
переселить,переселять
переселиться,переселяться
пересилить,пересиливать
пересказать,пересказывать
пересказаться,пересказываться
перескочить,перескакивать
пересмотреть,пересматривать
переснять,переснимать
пересняться,пересниматься
пересоставить,пересоставлять
переспеть,переспевать
переспросить,переспрашивать
перестать,переставать
переставить,переставлять
перестелить,перестилать
перестлать,перестилать
перестелиться,перестилаться
перестирать,перестирывать
перестираться,перестирываться
перестроить,перестраивать
перестроиться,перестраиваться
перестраховать,перестраховывать
перестраховаться,перестраховываться
переступить,переступать
пересчитать,пересчитывать
пересчитаться,пересчитываться
переслать,пересылать
пересыпать,пересыпать
пересохнуть,пересыхать
перетащить,перетаскивать
перетащиться,перетаскиваться
перетасовать,перетасовывать
перетасоваться,перетасовываться
перетечь,перетекать
перетереть,перетирать
перетереться,перетираться
перетолковать,перетолковывать
перетолковаться,перетолковываться
перетравить,перетравливать
перетратить,перетрачивать
перетревожить,перетревоживать
перетревожиться,перетревоживаться
перетряхнуть,перетряхивать
перетянуть,перетягивать
перетянуться,перетягиваться
переупорядочить,переупорядочивать
переупорядочиться,переупорядочиваться
переустроить,переустраивать
переустроиться,переустраиваться
переуступить,переуступать
переутомить,переутомлять
переутомиться,переутомляться
переучить,переучивать
переучиться,переучиваться
перехватить,перехватывать
перехватиться,перехватываться
перехлестнуть,перехлестывать
перехоронить,перехоранивать
перечеркнуть,перечеркивать
перечертить,перечерчивать
перечертиться,перечерчиваться
перечислить,перечислять
перечитать,перечитывать
перешагнуть,перешагивать
перешить,перешивать
перешиться,перешиваться
проперфорировать,перфорировать
наперчить,перчить
наперчиться,перчиться
пропесочить,песочить
спеть,петь
опечалить,печалить
опечалиться,печалиться
напечатать,печатать
напечататься,печататься
спечь,печь
попиариться,пиариться
попижонить,пижонить
спикировать,пикировать
запиликать,пиликать
спилить,пилить
пнуть,пинать
написать,писать
пихнуть,пихать
пихнуться,пихаться
запищать,пищать
расплавить,плавить
расплавиться,плавиться
заплакать,плакать
расплакаться,плакаться
запланировать,планировать
спланировать,планировать
распластать,пластать
распластаться,пластаться
заплатить,платить
наплевать,плевать
плескануть,плескать
плеснуть,плескать
плеснуться,плескаться
заплесневеть,плесневеть
сплести,плести
поплестись,плестись
расплодить,плодить
расплодиться,плодиться
запломбировать,пломбировать
заплутать,плутать
сплутовать,плутовать
проплыть,плыть
плюхнуться,плюхаться
расплющить,плющить
расплющиться,плющиться
сплясать,плясать
победить,побеждать
побудить,побуждать
повергнуть,повергать
повергнуться,повергаться
повернуть,повертывать
повертеть,повертывать
поворотить,поворачивать
поворотиться,поворачиваться
повредить,повреждать
повредиться,повреждаться
повторить,повторять
повториться,повторяться
повысить,повышать
повыситься,повышаться
повязать,повязывать
повязаться,повязываться
поглотить,поглощать
поглотиться,поглощаться
поглядеть,поглядывать
погнать,погонять
погрести,погребать
погрузиться,погружаться
погрязнуть,погрязать
подавить,подавать
подать,подавать
податься,подаваться
подбавить,подбавлять
подбодрить,подбадривать
подбить,подбивать
подобрать,подбирать
подобраться,подбираться
подбросить,подбрасывать
подброситься,подбрасываться
подбрить,подбривать
подбриться,подбриваться
подвергнуть,подвергать
подвергнуться,подвергаться
подвернуть,подвертывать
подвернуться,подвертываться
подвесить,подвешивать
подвеситься,подвешиваться
подвить,подвивать
подвинуть,подвигать
подвинуться,подвигаться
подвести,подводить
подвезти,подвозить
подволочь,подволакивать
подвязать,подвязывать
подвязаться,подвязываться
подогнуть,подгибать
подогнуться,подгибаться
подглядеть,подглядывать
подговорить,подговаривать
подговориться,подговариваться
подогнать,подгонять
подгореть,подгорать
подгрести,подгребать
поддать,поддавать
поддаться,поддаваться
поддакнуть,поддакивать
поддеть,поддевать
подделать,подделывать
подделаться,подделываться
поддернуть,поддергивать
поддержать,поддерживать
подергать,подергивать
подернуться,подергиваться
поджечь,поджигать
поджать,поджимать
поджаться,поджиматься
подзабыть,подзабывать
подзабыться,подзабываться
подзадорить,подзадоривать
подзакалиться,подзакаляться
подколоть,подкалывать
подкопать,подкапывать
подкопаться,подкапываться
подкараулить,подкарауливать
подкормить,подкармливать
подкормиться,подкармливаться
подкатить,подкатывать
подкатиться,подкатываться
подкачать,подкачивать
подкачаться,подкачиваться
подкосить,подкашивать
подкоситься,подкашиваться
подкинуть,подкидывать
подкиснуть,подкисать
подложить,подкладывать
подклеить,подклеивать
подклеиться,подклеиваться
подключить,подключать
подключиться,подключаться
подковать,подковывать
подковаться,подковываться
подкрасться,подкрадываться
подкрахмалить,подкрахмаливать
подкрасить,подкрашивать
подкраситься,подкрашиваться
подкрепить,подкреплять
подкрепиться,подкрепляться
подкрутить,подкручивать
подкупить,подкупать
подкупиться,подкупаться
подладить,подлаживать
подладиться,подлаживаться
подлететь,подлетать
подлить,подливать
подлизать,подлизывать
подлизаться,подлизываться
подмагнитить,подмагничивать
подмагнититься,подмагничиваться
подмазать,подмазывать
подмазаться,подмазываться
подморгнуть,подмаргивать
подмочить,подмачивать
подмочиться,подмачиваться
подменить,подменять
подметить,подмечать
подметиться,подмечаться
подмешать,подмешивать
подмешаться,подмешиваться
подмигнуть,подмигивать
подморозить,подмораживать
подморозиться,подмораживаться
подмыть,подмывать
подмыться,подмываться
поднабрать,поднабирать
поднабраться,поднабираться
поднакопить,поднакапливать
поднакопиться,поднакапливаться
поднапрячь,поднапрягать
поднапрячься,поднапрягаться
поднять,поднимать
подновить,подновлять
подновиться,подновляться
поднести,подносить
подогреть,подогревать
подогреться,подогреваться
пододвинуть,пододвигать
пододвинуться,пододвигаться
заподозрить,подозревать
подольститься,подольщаться
подпасть,подпадать
подпалить,подпалять
подпилить,подпиливать
подпереть,подпирать
подпереться,подпираться
подписать,подписывать
подписаться,подписываться
подпитать,подпитывать
подпитаться,подпитываться
подпихнуть,подпихивать
подпихнуться,подпихиваться
подплыть,подплывать
подползти,подползать
подпоясать,подпоясывать
подпоясаться,подпоясываться
подправить,подправлять
подправиться,подправляться
подпрыгнуть,подпрыгивать
подпустить,подпускать
подработать,подрабатывать
подравнять,подравнивать
подровнять,подравнивать
подравняться,подравниваться
подразделить,подразделять
подразделиться,подразделяться
подрасти,подрастать
подрисовать,подрисовывать
подрисоваться,подрисовываться
подрубить,подрубать
подрулить,подруливать
подрумянить,подрумянивать
подрумяниться,подрумяниваться
подорвать,подрывать
подорваться,подрываться
подрядить,подряжать
подрядиться,подряжаться
подсадить,подсаживать
подсесть,подсаживаться
подсолить,подсаливать
подсветить,подсвечивать
подсветиться,подсвечиваться
подселить,подселять
подселиться,подселяться
подсинить,подсинивать
подсиниться,подсиниваться
подсказать,подсказывать
подскрести,подскребать
подслушать,подслушивать
подсмотреть,подсматривать
подсоединить,подсоединять
подсоединиться,подсоединяться
подставить,подставлять
подставиться,подставляться
подстегнуть,подстегивать
подстеречь,подстерегать
подстеречься,подстерегаться
подостлать,подстилать
подстелить,подстилать
подстелиться,подстилаться
подстроить,подстраивать
подстроиться,подстраиваться
подстраховаться,подстраховываться
подстрекнуть,подстрекать
подстричь,подстригать
подстричься,подстригаться
подступить,подступать
подступиться,подступаться
подсучить,подсучивать
подсчитать,подсчитывать
подсчитаться,подсчитываться
подослать,подсылать
подсыпать,подсыпать
подсохнуть,подсыхать
подтолкнуть,подталкивать
подтопить,подтапливать
подтащить,подтаскивать
подтащиться,подтаскиваться
подтасовать,подтасовывать
подточить,подтачивать
подточиться,подтачиваться
подтвердить,подтверждать
подтвердиться,подтверждаться
подтереть,подтирать
подтереться,подтираться
подтрунить,подтрунивать
подоткнуть,подтыкать
подоткнуться,подтыкаться
подтянуть,подтягивать
подтянуться,подтягиваться
подуть,подувать
подустать,подуставать
подучить,подучивать
подучиться,подучиваться
подхватить,подхватывать
подхлестнуть,подхлестывать
подойти,подходить
подцепить,подцеплять
подцепиться,подцепляться
подчеркнуть,подчеркивать
подчинить,подчинять
подчистить,подчищать
подчиститься,подчищаться
подшибить,подшибать
подшить,подшивать
подшиться,подшиваться
подшутить,подшучивать
подъехать,подъезжать
подыграть,подыгрывать
подыскать,подыскивать
подыскаться,подыскиваться
подытожить,подытоживать
подытожиться,подытоживаться
пожать,пожимать
пожаться,пожиматься
позабавить,позабавлять
позакрыть,позакрывать
позакрыться,позакрываться
поздравить,поздравлять
познать,познавать
напоить,поить
показать,показывать
покачать,покачивать
покачаться,покачиваться
упокоиться,покоиться
покорить,покорять
покориться,покоряться
покрыться,покрываться
купить,покупать
покуситься,покушаться
положиться,полагаться
ползти,ползать
поползать,ползать
поползти,ползать
проползти,ползти
полить,поливать
политься,поливаться
отполировать,полировать
отполироваться,полироваться
располнеть,полнеть
прополоскать,полоскать
прополоскаться,полоскаться
исполосовать,полосовать
прополоть,полоть
воспользоваться,пользоваться
поместить,помещать
поместиться,помещаться
помянуть,поминать
помереть,помирать
припомнить,помнить
помножить,помножать
помочь,помогать
понапридумать,понапридумывать
понизить,понижать
понизиться,понижаться
поникнуть,поникать
запоносить,поносить
попонтоваться,понтоваться
